Time(long)     ml  xy  press   RR   ir1
1544954946682  255  127  11442   0.0   45958
1544954946899  255  127  11442   0.0   78481
1544954947085  255  127  11445   0.0   231692
1544954947360  255  127  11445   0.0   233365
1544954947493  255  127  11445   0.0   530196
1544954947715  255  127  11444   0.0   779841
1544954947904  255  127  11444   0.0   401488
1544954948125  255  127  11444   0.0   353569
1544954948300  255  127  11443   0.0   417906
1544954948492  255  127  11443   0.0   403540
1544954948710  255  127  11444   0.0   362544
1544954948899  255  127  11445   0.0   371691
1544954949113  255  127  11443   0.0   384029
1544954949315  255  127  11444   0.0   417748
1544954949529  255  127  11445   0.0   405781
1544954949751  255  127  11443   0.0   457095
1544954949915  255  127  11443   0.0   540102
1544954950099  255  127  11444   0.0   658647
1544954950328  255  127  11445   0.0   430934
1544954950501  255  127  11444   0.0   432513
1544954950733  255  127  11442   0.0   454735
1544954950910  255  127  11442   0.0   464919
1544954951134  255  127  11442   0.0   419272
1544954951320  255  127  11443   0.0   495347
1544954951590  255  127  11442   0.0   593706
1544954951723  255  127  11443   0.0   649496
1544954951943  255  127  11444   0.0   728371
1544954952131  255  127  11444   0.0   782622
1544954952351  255  127  11444   0.0   343883
1544954952545  255  127  11442   0.0   368441
1544954952758  255  127  11445   0.0   421304
1544954952933  255  127  11446   0.0   622690
1544954953154  255  127  11447   0.0   665007
1544954953347  255  127  11446   0.0   646584
1544954953561  255  127  11444   0.0   552769
1544954953747  255  127  11446   0.0   566382
1544954953971  255  127  11446   0.0   535396
1544954954154  255  127  11446   0.0   557917
1544954954374  255  127  11448   0.0   571719
1544954954557  255  127  11445   0.0   576675
1544954954804  255  127  11446   0.0   580775
1544954954971  255  127  11446   0.0   573769
1544954955182  255  127  11447   0.0   585809
1544954955368  255  127  11446   0.0   615605
1544954955585  255  127  11444   0.0   660712
1544954955783  255  127  11447   0.0   727983
1544954955987  255  127  11446   0.0   729625
1544954956173  255  127  11448   0.0   656629
1544954956395  255  127  11446   0.0   609534
1544954956575  255  127  11446   0.0   578360
1544954956802  255  127  11447   0.0   517621
1544954956986  255  127  11447   0.0   462685
1544954957206  255  127  11446   0.0   481506
1544954957398  255  127  11444   0.0   497275
1544954957614  255  127  11444   0.0   508205
1544954957845  255  127  11445   0.0   515057
1544954958016  255  127  11446   0.0   475301
1544954958203  255  127  11447   0.0   434290
1544954958420  255  127  11446   0.0   395116
1544954958650  255  127  11444   0.0   334995
1544954958827  255  127  11447   0.0   265878
1544954959005  255  127  11444   0.0   397888
1544954959229  255  127  11444   0.0   584230
1544954959421  255  127  11444   0.0   792666
1544954959634  255  127  11444   0.0   411856
1544954959819  255  127  11445   0.0   428777
1544954960040  255  127  11447   0.0   436698
1544954960224  255  127  11445   0.0   467971
1544954960494  255  127  11444   0.0   524497
1544954960631  255  127  11444   0.0   618543
1544954960852  255  127  11447   0.0   718797
1544954961060  255  127  11444   0.0   663106
1544954961255  255  127  11444   0.0   549354
1544954961452  255  127  11444   0.0   386071
1544954961651  255  127  11446   0.0   268714
1544954961845  255  127  11446   0.0   358078
1544954962025  255  127  11447   0.0   316799
1544954962301  255  127  11446   0.0   277062
1544954962439  255  127  11446   0.0   540705
1544954962654  255  127  11445   0.0   536794
1544954962847  255  127  11447   0.0   448322
1544954963062  255  127  11444   0.0   401906
1544954963246  255  127  11446   0.0   390201
1544954963496  255  127  11445   0.0   399704
1544954963653  255  127  11446   0.0   348386
1544954963876  255  127  11446   0.0   344489
1544954964058  255  127  11446   0.0   356087
1544954964276  255  127  11447   0.0   370830
1544954964473  255  127  11446   0.0   338113
1544954964742  255  127  11444   0.0   343633
1544954964887  255  127  11444   0.0   358715
1544954965080  255  127  11446   0.0   366856
1544954965327  255  127  11446   0.0   340797
1544954965504  255  127  11447   0.0   346068
1544954965715  255  127  11445   0.0   358524
1544954965902  255  127  11446   0.0   365528
1544954966085  255  127  11446   0.0   344614
1544954966349  255  127  11446   0.8   349850
1544954966487  255  127  11446   0.8   361956
1544954966763  255  127  11444   0.8   369387
1544954966887  255  127  11445   0.8   348282
1544954967113  75  99  11446   0.8   352132
1544954967296  75  99  11444   0.8   363256
1544954967566  75  99  11446   0.8   359741
1544954967706  75  99  11446   0.8   345288
1544954967915  75  99  11445   0.78   349378
1544954968099  75  99  11445   0.78   360832
1544954968322  75  99  11445   0.78   354636
1544954968506  75  99  11446   0.78   339615
1544954968728  75  99  11449   0.8   343672
1544954968919  75  99  11445   0.8   355932
1544954969136  75  99  11446   0.8   361140
1544954969325  75  99  11446   0.8   334773
1544954969536  75  99  11445   0.82   338815
1544954969723  75  99  11448   0.82   352008
1544954969940  75  99  11446   0.82   358466
1544954970126  75  99  11446   0.82   332027
1544954970343  74  99  11446   0.81   337504
1544954970540  74  99  11444   0.81   352289
1544954970750  74  99  11444   0.81   362017
1544954970934  74  99  11448   0.81   329053
1544954971153  74  99  11446   0.81   334197
1544954971346  74  99  11446   0.81   348210
1544954971561  74  99  11448   0.81   362125
1544954971753  74  99  11447   0.81   326862
1544954971965  74  99  11448   0.82   332115
1544954972158  74  99  11449   0.82   345289
1544954972369  74  99  11446   0.82   358771
1544954972556  74  99  11447   0.82   325049
1544954972776  74  99  11446   0.79   331215
1544954972960  74  99  11446   0.79   345636
1544954973183  74  99  11446   0.79   357287
1544954973364  74  99  11446   0.79   319482
1544954973585  74  99  11446   0.79   325321
1544954973843  74  99  11446   0.79   341436
1544954973989  74  99  11446   0.79   354017
1544954974170  74  99  11446   0.79   316750
1544954974397  74  99  11445   0.8   323609
1544954974621  74  99  11446   0.8   340024
1544954974800  74  99  11447   0.8   351653
1544954974986  74  99  11446   0.8   319260
1544954975209  74  99  11447   0.79   326605
1544954975396  74  99  11446   0.79   342937
1544954975595  74  99  11444   0.79   333998
1544954975796  74  99  11447   0.79   321200
1544954975980  74  99  11447   0.76   328812
1544954976200  74  99  11445   0.76   345345
1544954976383  74  99  11447   0.76   329025
1544954976604  74  99  11445   0.76   318098
1544954976797  74  99  11446   0.79   325824
1544954977003  74  99  11445   0.79   341665
1544954977189  74  99  11447   0.79   325189
1544954977413  74  99  11446   0.79   319456
1544954977599  74  99  11446   0.79   327584
1544954977826  74  99  11444   0.79   342658
1544954978007  74  99  11444   0.79   319813
1544954978227  75  99  11445   0.77   322702
1544954978411  75  99  11444   0.77   331775
1544954978633  75  99  11446   0.77   347090
1544954978817  75  99  11448   0.77   315657
1544954979032  75  99  11447   0.77   319373
1544954979221  75  99  11448   0.77   330406
1544954979440  75  99  11448   0.77   345196
1544954979620  75  99  11447   0.77   312324
1544954979841  75  99  11447   0.77   317794
1544954980021  75  99  11445   0.77   330925
1544954980292  75  99  11447   0.77   345644
1544954980433  75  99  11446   0.77   314719
1544954980651  75  99  11446   0.77   320434
1544954980885  75  99  11449   0.77   334147
1544954981063  75  99  11448   0.77   347400
1544954981303  75  99  11448   0.77   316440
1544954981462  75  99  11448   0.78   323128
1544954981644  75  99  11448   0.78   338090
1544954981924  75  99  11447   0.78   355149
1544954982055  75  99  11446   0.78   320538
1544954982274  75  99  11448   0.83   326890
1544954982471  75  99  11447   0.83   342988
1544954982677  75  99  11446   0.83   356391
1544954982863  75  99  11446   0.83   323068
1544954983079  75  99  11446   0.81   330663
1544954983264  75  99  11446   0.81   345473
1544954983486  75  99  11446   0.81   360107
1544954983666  75  99  11448   0.81   324973
1544954983892  75  99  11448   0.78   333531
1544954984089  75  99  11446   0.78   349536
1544954984297  75  99  11448   0.78   355245
1544954984490  75  99  11447   0.78   318613
1544954984700  75  99  11449   0.76   326568
1544954984883  75  99  11448   0.76   345384
1544954985105  75  99  11448   0.76   325899
1544954985294  75  99  11446   0.76   315289
1544954985511  75  98  11446   0.76   326825
1544954985703  75  98  11447   0.76   347587
1544954985914  75  98  11447   0.76   320191
1544954986096  75  98  11446   0.78   319832
1544954986319  75  98  11446   0.78   330316
1544954986509  75  98  11447   0.78   349668
1544954986730  75  98  11446   0.78   319705
1544954986910  75  98  11448   0.77   324859
1544954987152  75  98  11448   0.77   335524
1544954987325  75  98  11444   0.77   353208
1544954987535  75  98  11446   0.77   314769
1544954987726  75  98  11447   0.77   320597
1544954987941  75  98  11449   0.77   333277
1544954988126  75  98  11447   0.77   349763
1544954988345  75  98  11446   0.77   309853
1544954988551  76  98  11448   0.76   316980
1544954988755  76  98  11448   0.76   332752
1544954988990  76  98  11447   0.76   345188
1544954989113  76  98  11447   0.76   314750
1544954989334  76  98  11447   0.77   322563
1544954989537  76  98  11446   0.77   338667
1544954989745  76  98  11448   0.77   327894
1544954989935  77  98  11448   0.74   324397
1544954990154  77  98  11448   0.74   332396
1544954990334  77  98  11446   0.74   347881
1544954990564  77  98  11446   0.74   329227
1544954990753  77  98  11446   0.79   330777
1544954990959  77  98  11448   0.79   338451
1544954991147  77  98  11447   0.79   352860
1544954991363  77  98  11448   0.79   334155
1544954991543  77  98  11448   0.79   335871
1544954991769  77  98  11448   0.79   342425
1544954991963  77  98  11449   0.79   355466
1544954992169  77  98  11446   0.79   333041
1544954992366  77  98  11448   0.78   338021
1544954992576  77  98  11447   0.78   345760
1544954992759  77  98  11449   0.78   359245
1544954992981  77  98  11447   0.78   329196
1544954993174  76  98  11447   0.8   331305
1544954993412  76  98  11451   0.8   342117
1544954993576  76  98  11448   0.8   357696
1544954993795  76  98  11447   0.8   330947
1544954993978  76  98  11447   0.79   339933
1544954994214  76  98  11448   0.79   349564
