Time(long)     ml  xy  press   RR   ir1
1544969826598  255  127  11432   0.0   8108
1544969826818  255  127  11430   0.0   31431
1544969827014  255  127  11430   0.0   60813
1544969827223  255  127  11428   0.0   149604
1544969827420  255  127  11428   0.0   362267
1544969827627  255  127  11430   0.0   364669
1544969827808  255  127  11431   0.0   368358
1544969828034  255  127  11434   0.0   363800
1544969828215  255  127  11430   0.0   361330
1544969828456  255  127  11431   0.0   364065
1544969828629  255  127  11431   0.0   367770
1544969828843  255  127  11430   0.0   370638
1544969829027  255  127  11430   0.0   360940
1544969829245  255  127  11433   0.0   361310
1544969829429  255  127  11432   0.0   364223
1544969829648  255  127  11431   0.0   368200
1544969829832  255  127  11431   0.0   359569
1544969830055  255  127  11429   0.0   358303
1544969830243  255  127  11431   0.0   360910
1544969830462  255  127  11432   0.0   364229
1544969830739  255  127  11432   0.0   363503
1544969830864  255  127  11433   0.0   356945
1544969831046  255  127  11433   0.88   358017
1544969831271  255  127  11431   0.88   361254
1544969831460  255  127  11433   0.88   365465
1544969831677  255  127  11430   0.88   356755
1544969831864  255  100  11431   0.91   355374
1544969832081  255  100  11431   0.91   357725
1544969832264  255  100  11431   0.91   361025
1544969832531  255  100  11432   0.91   364641
1544969832666  255  100  11432   0.91   353055
1544969832888  64  100  11434   0.93   352614
1544969833086  64  100  11434   0.93   355905
1544969833295  64  100  11433   0.93   359898
1544969833479  64  100  11432   0.93   357176
1544969833699  64  100  11433   0.93   351706
1544969833883  63  100  11434   0.94   352140
1544969834106  63  100  11434   0.94   355698
1544969834333  63  100  11434   0.94   360145
1544969834513  63  100  11433   0.94   351648
1544969834706  63  100  11432   0.94   349928
1544969834915  63  100  11434   0.94   352057
1544969835102  63  100  11432   0.94   355683
1544969835323  63  100  11433   0.94   360636
1544969835508  63  100  11434   0.94   348248
1544969835682  63  100  11430   0.96   346084
1544969835907  63  100  11431   0.96   349224
1544969836111  63  100  11429   0.96   353060
1544969836313  63  100  11431   0.96   353322
1544969836497  63  100  11436   0.96   342954
1544969836718  63  100  11434   0.93   343358
1544969836900  63  100  11436   0.93   347356
1544969837119  63  100  11432   0.93   352036
1544969837305  63  100  11432   0.93   342812
1544969837538  63  100  11433   0.91   341243
1544969837755  63  100  11433   0.91   343633
1544969837934  63  100  11432   0.91   347584
1544969838125  63  100  11432   0.91   352181
1544969838343  63  100  11432   0.91   337771
1544969838517  63  100  11436   0.93   337349
1544969838739  63  100  11434   0.93   342160
1544969838923  63  100  11434   0.93   347062
1544969839206  63  100  11434   0.93   342296
1544969839342  63  100  11436   0.93   338160
1544969839601  63  99  11436   0.92   340372
1544969839738  63  99  11438   0.92   345226
1544969839956  63  99  11435   0.92   350627
1544969840139  63  99  11434   0.92   338951
1544969840360  63  99  11434   0.88   339526
1544969840545  63  99  11436   0.88   344478
1544969840767  63  99  11434   0.88   349671
1544969840970  63  99  11435   0.88   338924
1544969841176  64  99  11435   0.87   337572
1544969841356  64  99  11434   0.87   341599
1544969841574  64  99  11436   0.87   346790
1544969841766  64  99  11433   0.87   346882
1544969841981  64  99  11436   0.87   338571
1544969842166  64  99  11434   0.89   340545
1544969842387  64  99  11434   0.89   346057
1544969842589  64  99  11433   0.89   351743
1544969842797  64  99  11434   0.89   341253
1544969842974  65  99  11434   0.87   341524
1544969843201  65  99  11433   0.87   346651
1544969843377  65  99  11434   0.87   351343
1544969843600  65  99  11433   0.87   340026
1544969843792  66  99  11436   0.8   340119
1544969844007  66  99  11434   0.8   345137
1544969844224  66  99  11435   0.8   350846
1544969844412  66  99  11435   0.8   340962
1544969844637  67  99  11436   0.83   341990
1544969844814  67  99  11435   0.83   346807
1544969845064  67  99  11435   0.83   352358
1544969845222  67  99  11435   0.83   343861
1544969845406  67  99  11434   0.81   345203
1544969845625  67  99  11437   0.81   349248
1544969845809  67  99  11436   0.81   355294
1544969846030  67  99  11436   0.81   344020
1544969846223  68  99  11436   0.74   345482
1544969846436  68  99  11435   0.74   351200
1544969846622  68  99  11436   0.74   354168
1544969846842  68  99  11436   0.74   343857
1544969847039  69  99  11435   0.75   346713
1544969847222  69  99  11435   0.75   353124
1544969847438  69  99  11434   0.75   352888
1544969847620  69  99  11435   0.75   344045
1544969847833  70  99  11436   0.78   346694
1544969848030  70  99  11435   0.78   353280
1544969848246  70  99  11434   0.78   358840
1544969848431  70  99  11436   0.78   347279
1544969848649  71  99  11434   0.85   350017
1544969848824  71  99  11432   0.85   356443
1544969849046  71  99  11435   0.85   362764
1544969849240  71  99  11434   0.85   352003
1544969849481  72  99  11435   0.8   354797
1544969849644  72  99  11435   0.8   360996
1544969849890  72  99  11433   0.8   367005
1544969850051  72  99  11434   0.8   356838
1544969850267  72  99  11435   0.8   359303
1544969850445  72  99  11434   0.8   364796
1544969850665  72  99  11433   0.8   370438
1544969850850  72  99  11433   0.8   361343
1544969851076  73  99  11435   0.85   363015
1544969851262  73  99  11435   0.85   367194
1544969851476  73  99  11434   0.85   372205
1544969851665  73  99  11434   0.85   366988
1544969851881  73  100  11437   0.86   366077
1544969852109  73  100  11437   0.86   368604
1544969852287  73  100  11436   0.86   373386
1544969852475  73  100  11434   0.86   377744
