Time(long)     ml  xy  press   RR   ir1
1545045300071  74  97  11442   0.8299999833106995   572644
1545045300100  74  97  11442   0.8299999833106995   574360
1545045300101  74  97  11443   0.8299999833106995   576017
1545045300102  74  97  11442   0.8299999833106995   577620
1545045300103  74  97  11443   0.8299999833106995   579229
1545045300116  74  97  11442   0.8299999833106995   580808
1545045300131  74  97  11441   0.8299999833106995   582415
1545045300131  74  97  11441   0.8299999833106995   584013
1545045300132  74  97  11441   0.8299999833106995   585621
1545045300179  74  97  11442   0.8299999833106995   587207
1545045300180  74  97  11442   0.8299999833106995   588864
1545045300180  74  97  11442   0.8299999833106995   590542
1545045300180  74  97  11443   0.8299999833106995   592213
1545045300181  74  97  11443   0.8299999833106995   594001
1545045300207  74  97  11443   0.8299999833106995   595869
1545045300208  74  97  11443   0.8299999833106995   597779
1545045300210  74  97  11444   0.8299999833106995   599745
1545045300211  74  97  11444   0.8299999833106995   601612
1545045300251  74  97  11444   0.8299999833106995   602913
1545045300253  74  97  11444   0.8299999833106995   603030
1545045300254  74  97  11444   0.8299999833106995   601027
1545045300256  74  97  11444   0.8299999833106995   596066
1545045300260  74  97  11444   0.8299999833106995   587378
1545045300303  74  97  11442   0.8299999833106995   575084
1545045300310  74  97  11443   0.8299999833106995   560733
1545045300311  74  97  11443   0.8299999833106995   546074
1545045300338  74  97  11443   0.8299999833106995   532810
1545045300363  74  97  11443   0.8299999833106995   522571
1545045300363  74  97  11444   0.8299999833106995   515794
1545045300363  74  97  11444   0.8299999833106995   511380
1545045300363  74  97  11444   0.8299999833106995   508419
1545045300364  74  97  11446   0.8299999833106995   506478
1545045300391  74  97  11444   0.8299999833106995   505278
1545045300392  74  97  11443   0.8299999833106995   504695
1545045300395  74  97  11444   0.8299999833106995   504644
1545045300400  74  97  11443   0.8299999833106995   505055
1545045300436  74  97  11443   0.8299999833106995   505797
1545045300439  74  97  11443   0.8299999833106995   506834
1545045300441  74  97  11444   0.8299999833106995   508069
1545045300444  74  97  11444   0.8299999833106995   509461
1545045300446  74  97  11444   0.8299999833106995   510964
1545045300481  74  97  11444   0.8299999833106995   512634
1545045300485  74  97  11443   0.8299999833106995   514404
1545045300491  74  97  11443   0.8299999833106995   516280
1545045300500  74  97  11442   0.8299999833106995   518247
1545045300525  74  97  11443   0.8299999833106995   520141
1545045300550  74  97  11442   0.8299999833106995   521807
1545045300550  74  97  11443   0.8299999833106995   523207
1545045300572  74  97  11443   0.8299999833106995   524190
1545045300618  74  97  11442   0.8299999833106995   524774
1545045300618  74  97  11442   0.8299999833106995   525021
1545045300621  74  97  11442   0.8299999833106995   524977
1545045300621  74  97  11441   0.8299999833106995   524788
1545045300622  74  97  11442   0.8299999833106995   524341
1545045300622  74  97  11443   0.8299999833106995   523932
1545045300622  74  97  11442   0.8299999833106995   523592
1545045300622  74  97  11442   0.8299999833106995   523301
1545045300628  74  97  11444   0.8299999833106995   523339
1545045300661  74  97  11442   0.8299999833106995   523725
1545045300669  74  97  11444   0.8299999833106995   524347
1545045300672  74  97  11444   0.8299999833106995   525065
1545045300675  74  97  11442   0.8299999833106995   525954
1545045300677  74  97  11441   0.8299999833106995   527091
1545045300706  74  97  11443   0.8299999833106995   528410
1545045300707  74  97  11443   0.8299999833106995   529910
1545045300711  74  97  11445   0.8299999833106995   531549
1545045300734  74  97  11443   0.8299999833106995   533281
1545045300764  74  97  11444   0.8299999833106995   535095
1545045300764  74  97  11442   0.8299999833106995   536896
1545045300764  74  97  11441   0.8299999833106995   538774
1545045300764  74  97  11441   0.8299999833106995   540679
1545045300764  74  97  11442   0.8299999833106995   542551
1545045300798  74  97  11443   0.8299999833106995   544461
1545045300802  74  97  11442   0.8299999833106995   546314
1545045300805  74  97  11442   0.8299999833106995   548169
1545045300807  74  97  11443   0.8299999833106995   550008
1545045300842  74  97  11443   0.8299999833106995   551742
1545045300844  74  97  11444   0.8299999833106995   553459
1545045300847  74  97  11442   0.8299999833106995   555160
1545045300850  74  97  11442   0.8299999833106995   556802
1545045300851  74  97  11442   0.8299999833106995   558405
1545045300885  74  97  11442   0.8299999833106995   560024
1545045300889  74  97  11442   0.8299999833106995   561715
1545045300891  74  97  11443   0.8299999833106995   563434
1545045300895  74  97  11443   0.8299999833106995   565190
1545045300931  74  97  11444   0.8299999833106995   566981
1545045300950  74  97  11444   0.8299999833106995   568709
1545045300955  74  97  11444   0.8299999833106995   570434
1545045300956  74  97  11442   0.8299999833106995   572232
1545045300982  74  97  11442   0.8299999833106995   574014
1545045300982  74  97  11442   0.8299999833106995   575793
1545045300999  74  97  11442   0.8299999833106995   577619
1545045300999  74  97  11442   0.8299999833106995   579481
1545045300999  74  97  11442   0.8299999833106995   581374
1545045301019  74  97  11442   0.8299999833106995   583296
1545045301020  74  97  11442   0.8299999833106995   585246
1545045301023  74  97  11443   0.8299999833106995   587267
1545045301023  74  97  11443   0.8299999833106995   589262
1545045301064  74  97  11444   0.8299999833106995   591318
1545045301067  74  97  11443   0.8299999833106995   593452
1545045301068  74  97  11444   0.8299999833106995   595554
1545045301072  74  97  11442   0.8299999833106995   597648
1545045301077  74  97  11444   0.8299999833106995   599724
1545045301111  74  97  11444   0.8299999833106995   601264
1545045301115  74  97  11442   0.8299999833106995   601462
1545045301121  74  97  11443   0.8299999833106995   599493
1545045301127  74  97  11443   0.8299999833106995   594482
1545045301174  74  97  11445   0.8299999833106995   585447
1545045301187  74  97  11443   0.8299999833106995   572261
1545045301187  74  97  11443   0.8299999833106995   556751
1545045301187  74  97  11444   0.8299999833106995   540820
1545045301187  74  97  11444   0.8299999833106995   526440
1545045301200  74  97  11443   0.8299999833106995   515541
1545045301204  74  97  11443   0.8299999833106995   508354
1545045301209  74  97  11444   0.8299999833106995   503711
1545045301213  74  97  11444   0.8299999833106995   500470
1545045301248  74  97  11443   0.8299999833106995   498260
1545045301250  74  97  11443   0.8299999833106995   496840
1545045301253  74  97  11446   0.8299999833106995   496068
1545045301256  74  97  11444   0.8299999833106995   495889
1545045301260  74  97  11444   0.8299999833106995   496183
1545045301292  74  97  11443   0.8299999833106995   496825
1545045301296  74  97  11443   0.8299999833106995   497775
1545045301303  74  97  11443   0.8299999833106995   498876
1545045301306  74  97  11442   0.8299999833106995   500081
1545045301341  74  97  11442   0.8299999833106995   501379
1545045301370  74  97  11442   0.8299999833106995   502723
1545045301370  74  97  11442   0.8299999833106995   504077
1545045301370  74  97  11441   0.8299999833106995   505477
1545045301370  74  97  11441   0.8299999833106995   506947
1545045301398  74  97  11442   0.8299999833106995   508432
1545045301398  73  97  11440   0.8500000238418579   509891
1545045301414  73  97  11440   0.8500000238418579   511170
1545045301414  73  97  11440   0.8500000238418579   512299
1545045301428  73  97  11441   0.8500000238418579   513222
1545045301431  73  97  11441   0.8500000238418579   513897
1545045301434  73  97  11440   0.8500000238418579   514311
1545045301436  73  97  11442   0.8500000238418579   514422
1545045301469  73  97  11442   0.8500000238418579   514439
1545045301471  73  97  11442   0.8500000238418579   514509
1545045301473  73  97  11442   0.8500000238418579   514580
1545045301475  73  97  11444   0.8500000238418579   514770
1545045301478  73  97  11444   0.8500000238418579   515137
1545045301518  73  97  11443   0.8500000238418579   515729
1545045301524  73  97  11443   0.8500000238418579   516574
1545045301527  73  97  11443   0.8500000238418579   517629
1545045301552  73  97  11444   0.8500000238418579   518949
1545045301581  73  97  11444   0.8500000238418579   520526
1545045301581  73  97  11443   0.8500000238418579   522240
1545045301597  73  97  11443   0.8500000238418579   524085
1545045301597  73  97  11442   0.8500000238418579   526133
1545045301597  73  97  11443   0.8500000238418579   528237
1545045301603  73  97  11441   0.8500000238418579   530372
1545045301606  73  97  11443   0.8500000238418579   532627
1545045301609  73  97  11442   0.8500000238418579   534893
